X,Y,date_ech,valeur,qualif,source,type_zone,code_zone,lib_zone,val_no2,val_so2,val_o3,val_pm10,val_pm25,couleur,x_wgs84,y_wgs84,ObjectId
2.73668985419148,47.9979534082914,2020/04/13 00:00:00+00,4,Bon,Lig'Air,EPCI,244500203,MONTARGIS,1,1,4,0,0,#A2F743,2.73668985419148,47.9979534082914,1419
1.90398411271055,47.9031742830353,2020/04/14 00:00:00+00,4,Bon,Lig'Air,EPCI,244500468,ORLEANS,1,1,4,3,0,#A2F743,1.90398411271055,47.9031742830353,1420
2.39623221406277,47.0797061019767,2020/04/14 00:00:00+00,4,Bon,Lig'Air,EPCI,241800507,BOURGES,1,1,4,3,0,#A2F743,2.39623221406277,47.0797061019767,1421
0.682860005507324,47.3944384400863,2020/04/14 00:00:00+00,4,Bon,Lig'Air,EPCI,243700754,TOURS,1,1,4,3,0,#A2F743,0.682860005507324,47.3944384400863,1422
1.49059861331242,48.445544188298,2020/04/14 00:00:00+00,4,Bon,Lig'Air,EPCI,200033181,CHARTRES,0,1,4,3,0,#A2F743,1.49059861331242,48.445544188298,1423
1.69604874969798,46.810434424118,2020/04/14 00:00:00+00,4,Bon,Lig'Air,EPCI,243600327,CHATEAUROUX,1,1,4,3,0,#A2F743,1.69604874969798,46.810434424118,1424
1.32266969759773,47.59034135282,2020/04/14 00:00:00+00,4,Bon,Lig'Air,EPCI,200030385,BLOIS,1,1,4,3,0,#A2F743,1.32266969759773,47.59034135282,1425
1.35995239986007,48.7487531514464,2020/04/14 00:00:00+00,4,Bon,Lig'Air,EPCI,200040277,DREUX,1,1,4,3,0,#A2F743,1.35995239986007,48.7487531514464,1426
2.73668985419148,47.9979534082914,2020/04/14 00:00:00+00,4,Bon,Lig'Air,EPCI,244500203,MONTARGIS,1,1,4,0,0,#A2F743,2.73668985419148,47.9979534082914,1427
1.90398411271055,47.9031742830353,2020/04/15 00:00:00+00,4,Bon,Lig'Air,EPCI,244500468,ORLEANS,1,1,4,2,0,#A2F743,1.90398411271055,47.9031742830353,1428
2.39623221406277,47.0797061019767,2020/04/15 00:00:00+00,4,Bon,Lig'Air,EPCI,241800507,BOURGES,1,1,4,2,0,#A2F743,2.39623221406277,47.0797061019767,1429
0.682860005507324,47.3944384400863,2020/04/15 00:00:00+00,4,Bon,Lig'Air,EPCI,243700754,TOURS,1,1,4,3,0,#A2F743,0.682860005507324,47.3944384400863,1430
1.49059861331242,48.445544188298,2020/04/15 00:00:00+00,5,Moyen,Lig'Air,EPCI,200033181,CHARTRES,0,1,5,3,0,#FFFF00,1.49059861331242,48.445544188298,1431
1.69604874969798,46.810434424118,2020/04/15 00:00:00+00,4,Bon,Lig'Air,EPCI,243600327,CHATEAUROUX,1,1,4,3,0,#A2F743,1.69604874969798,46.810434424118,1432
1.32266969759773,47.59034135282,2020/04/15 00:00:00+00,5,Moyen,Lig'Air,EPCI,200030385,BLOIS,1,1,5,2,0,#FFFF00,1.32266969759773,47.59034135282,1433
1.35995239986007,48.7487531514464,2020/04/15 00:00:00+00,5,Moyen,Lig'Air,EPCI,200040277,DREUX,1,1,5,3,0,#FFFF00,1.35995239986007,48.7487531514464,1434
2.73668985419148,47.9979534082914,2020/04/15 00:00:00+00,4,Bon,Lig'Air,EPCI,244500203,MONTARGIS,1,1,4,0,0,#A2F743,2.73668985419148,47.9979534082914,1435
1.90398411271055,47.9031742830353,2020/04/16 00:00:00+00,4,Bon,Lig'Air,EPCI,244500468,ORLEANS,1,1,4,3,0,#A2F743,1.90398411271055,47.9031742830353,1436
2.39623221406277,47.0797061019767,2020/04/16 00:00:00+00,4,Bon,Lig'Air,EPCI,241800507,BOURGES,1,1,4,3,0,#A2F743,2.39623221406277,47.0797061019767,1437
0.682860005507324,47.3944384400863,2020/04/16 00:00:00+00,4,Bon,Lig'Air,EPCI,243700754,TOURS,1,1,4,3,0,#A2F743,0.682860005507324,47.3944384400863,1438
1.49059861331242,48.445544188298,2020/04/16 00:00:00+00,4,Bon,Lig'Air,EPCI,200033181,CHARTRES,0,1,4,3,0,#A2F743,1.49059861331242,48.445544188298,1439
1.69604874969798,46.810434424118,2020/04/16 00:00:00+00,4,Bon,Lig'Air,EPCI,243600327,CHATEAUROUX,1,1,4,3,0,#A2F743,1.69604874969798,46.810434424118,1440
1.32266969759773,47.59034135282,2020/04/16 00:00:00+00,4,Bon,Lig'Air,EPCI,200030385,BLOIS,1,1,4,2,0,#A2F743,1.32266969759773,47.59034135282,1441
1.35995239986007,48.7487531514464,2020/04/16 00:00:00+00,4,Bon,Lig'Air,EPCI,200040277,DREUX,1,1,4,3,0,#A2F743,1.35995239986007,48.7487531514464,1442
